top_n,cumulative_count,cumulative_proportion_of_all_values_incl_null,cumulative_proportion_of_all_values_excl_null
1,136888180,0.5669119865369928,0.0
50,220692845,0.9139826329304007,0.8013859437443273
100,226918100,0.9397640530555668,0.8609152295331803
500,233996320,0.9690779628565873,0.9286010321639763
1000,235943305,0.9771412531575302,0.947219165315407
5000,240091180,0.9943193620063523,0.9868834097987962
10000,241173142,0.9988002253415031,0.9972297209315415
32168,241462843,1.0,1.0
